building	effect	effect_scope	value	value_damaged	value_ruined	context_requirement
wh2_main_brt_resource_animals_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_animals_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_animals_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_dyes_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_dyes_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_dyes_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_furs_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_furs_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_furs_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gemstones_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gemstones_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gemstones_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gold_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gold_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_gold_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_iron_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_iron_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_iron_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_marble_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_marble_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_marble_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_medicine_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_medicine_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_medicine_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_obsidian_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_obsidian_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_obsidian_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pastures_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pastures_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pastures_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pottery_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pottery_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_pottery_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_salt_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_salt_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_salt_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_spices_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_spices_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_spices_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_timber_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_timber_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_timber_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_wine_1	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_wine_2	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_resource_wine_3	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_barracks_1	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_barracks_2	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_barracks_3	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_beasts_1	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_beasts_2	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_beasts_3	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_coldones_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_coldones_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_major_1	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_major_2	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_major_3	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_minor_1	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_minor_2	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_defence_norsca_1	derpy_gg_built_immortals_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_exiles_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_exiles_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_farm_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_farm_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_farm_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_industry_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_industry_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_industry_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_murder_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_murder_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_order_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_order_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_order_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_pleasure_cult_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_pleasure_cult_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_pleasure_cult_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_pleasure_cult_4	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_pleasure_cult_5	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_port_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_port_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_port_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_animals_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_animals_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_animals_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_dyes_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_dyes_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_dyes_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_furs_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_furs_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_furs_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gems_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gems_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gems_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gold_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gold_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_gold_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_iron_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_iron_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_iron_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_marble_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_marble_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_marble_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_medicine_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_medicine_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_medicine_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_obsidian_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_obsidian_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_obsidian_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pasture_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pasture_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pasture_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pottery_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pottery_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_pottery_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_salt_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_salt_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_salt_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_spices_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_spices_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_spices_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wine_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wine_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wine_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wood_1	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wood_2	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_resource_wood_3	derpy_gg_built_brass_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_riders_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_riders_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_roads_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_major_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_major_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_major_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_major_4	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_major_5	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_minor_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_minor_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_settlement_minor_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_slaves_1	derpy_gg_built_slavers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_slaves_2	derpy_gg_built_slavers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_sorcery_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_sorcery_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_worship_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_worship_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_def_worship_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_defence_norsca_1	derpy_gg_built_immortals_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_animals_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_animals_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_animals_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_animals_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_medicine_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_medicine_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_medicine_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_medicine_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_obsidian_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_obsidian_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_obsidian_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_obsidian_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_pottery_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_pottery_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_pottery_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_pottery_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_spices_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_spices_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_spices_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_spices_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_wine_1	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_wine_2	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_wine_3	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_dwf_resource_wine_4	derpy_gg_built_brass_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_defence_norsca_1	derpy_gg_built_immortals_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_animals_1	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_animals_2	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_animals_3	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_gemstones_1	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_gemstones_2	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_gemstones_3	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_medicine_1	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_medicine_2	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_medicine_3	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_obsidian_1	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_obsidian_2	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_obsidian_3	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_spices_1	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_spices_2	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_resource_spices_3	derpy_gg_built_brass_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_roads_1	derpy_gg_built_overseers_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_emp_roads_2	derpy_gg_built_overseers_emp	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_brt_1	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_brt_2	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_brt_3	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_def_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_def_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_def_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_dwf_1	derpy_gg_built_overseers_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_foreign_slot_discovery_dwf_2	derpy_gg_built_overseers_dwf	building_to_building_own	1.0000	1.0000	0.0000	
