key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
derpy_gg_bounty_slavers_ksl	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Ride and Take	Sack it. The Raiders are owed, and that place can pay.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_def	CAPTURE_REGIONS	Fresh Markets	The Karond Kar Traders want that town's trade in their ledgers. Take it intact.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_def	ELIMINATE_CHARACTER_IN_BATTLE	A Test of Blades	A general is being spoken of with respect. The Black Guard would like that corrected.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_def	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Plunder the Lore	Whatever that place knows, the Convent wants. Bring it back in pieces.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_def	ELIMINATE_CHARACTER_IN_BATTLE	A Name for Khaine	The Assassins do not care how it is done, only that the name stops being used.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_def	CAPTURE_REGIONS	A Tower Worth Taking	Take it whole. The Naggarond Builders want walls to raise higher, not rubble.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_def	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	A Harvest of Captives	Sack it. The Corsairs are owed, and that place can pay.	def/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_hef	CAPTURE_REGIONS	Open the Harbour	The Lothern Merchants want that town's trade on their ships. Take it intact.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_hef	ELIMINATE_CHARACTER_IN_BATTLE	A Lesson in Blades	A general is being spoken of with respect. The Swordmasters would like that corrected.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_hef	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Recover the Lore	Whatever that place knows, the Loremasters want kept safe. Bring it back in pieces.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_hef	ELIMINATE_CHARACTER_IN_BATTLE	A Shadow Falls	The Shadow Warriors do not care how it is done, only that the name stops being used.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_hef	CAPTURE_REGIONS	Walls for Ulthuan	Take it whole. The Masons want walls to strengthen, not rubble.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_hef	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Reave It	Sack it. The Reavers are owed, and that place can pay.	hef/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_gen	CAPTURE_REGIONS	Take the Market	The Merchant Houses want that town's tolls paid to them. Take it intact.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_gen	ELIMINATE_CHARACTER_IN_BATTLE	A Challenge Answered	A general is being spoken of with respect. The Company would like that corrected.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_gen	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Strip the Workshops	Whatever that place has built, the Artisans want on their own benches. Bring it back in pieces.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_gen	ELIMINATE_CHARACTER_IN_BATTLE	A Quiet Removal	The Guild does not care how it is done, only that the name stops being used.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_gen	CAPTURE_REGIONS	Leave the Walls Standing	Take it whole. The Builders want walls to work on, not rubble.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_gen	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	A Raid Worth Taking	Sack it. The Guild is owed, and that place can pay.	all/queen_and_crone	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
